,weather,scenario,status
177,cloudy,ghost_cutin,Completed
178,rain,ghost_cutin,Failed -- Accident
179,snow,ghost_cutin,Completed
180,clear,ghost_cutin,Completed
181,cloudy,ghost_cutin,Completed
182,rain,ghost_cutin,Completed
183,snow,ghost_cutin,Completed
184,clear,ghost_cutin,Completed
185,cloudy,ghost_cutin,Completed
186,rain,ghost_cutin,Failed -- Accident
187,snow,ghost_cutin,Completed
188,clear,ghost_cutin,Completed
189,cloudy,ghost_cutin,Completed
190,rain,ghost_cutin,Completed
191,snow,ghost_cutin,Completed
192,clear,ghost_cutin,Completed
193,cloudy,ghost_cutin,Completed
194,rain,ghost_cutin,Failed -- Accident
195,snow,ghost_cutin,Completed
196,clear,ghost_cutin,Completed
197,cloudy,ghost_cutin,Completed
198,rain,ghost_cutin,Completed
199,snow,ghost_cutin,Completed
200,clear,ghost_cutin,Completed
201,cloudy,ghost_cutin,Completed
202,rain,ghost_cutin,Failed -- Accident
203,snow,ghost_cutin,Completed
204,clear,ghost_cutin,Completed
205,cloudy,ghost_cutin,Completed
206,rain,ghost_cutin,Completed
207,snow,ghost_cutin,Completed
208,clear,ghost_cutin,Completed
209,cloudy,ghost_cutin,Completed
210,rain,ghost_cutin,Completed
211,snow,ghost_cutin,Completed
212,clear,ghost_cutin,Completed
213,cloudy,ghost_cutin,Completed
214,rain,ghost_cutin,Completed
215,snow,ghost_cutin,Failed -- Accident
216,clear,ghost_cutin,Completed
217,cloudy,ghost_cutin,Completed
218,rain,ghost_cutin,Failed -- Accident
219,snow,ghost_cutin,Failed -- Accident
220,clear,ghost_cutin,Completed
221,cloudy,ghost_cutin,Completed
222,rain,ghost_cutin,Completed
223,snow,ghost_cutin,Completed
224,clear,ghost_cutin,Completed
225,cloudy,ghost_cutin,Failed -- Simulator crashed
226,rain,ghost_cutin,Completed
227,snow,ghost_cutin,Completed
228,clear,ghost_cutin,Completed
229,cloudy,ghost_cutin,Completed
230,rain,ghost_cutin,Completed
231,snow,ghost_cutin,Completed
232,clear,ghost_cutin,Completed
233,cloudy,ghost_cutin,Completed
234,rain,ghost_cutin,Completed
235,snow,ghost_cutin,Completed
236,clear,ghost_cutin,Completed
237,cloudy,ghost_cutin,Completed
238,rain,ghost_cutin,Completed
239,snow,ghost_cutin,Completed
240,clear,ghost_cutin,Completed
241,cloudy,ghost_cutin,Completed
242,rain,ghost_cutin,Completed
243,snow,ghost_cutin,Completed
244,clear,ghost_cutin,Completed
245,cloudy,ghost_cutin,Completed
246,rain,ghost_cutin,Completed
247,snow,ghost_cutin,Completed
248,clear,ghost_cutin,Completed
249,cloudy,ghost_cutin,Completed
250,rain,ghost_cutin,Completed
251,snow,ghost_cutin,Completed
252,clear,ghost_cutin,Completed
253,cloudy,ghost_cutin,Failed -- Simulator crashed
254,rain,ghost_cutin,Completed
255,snow,ghost_cutin,Completed
256,clear,ghost_cutin,Completed
257,cloudy,ghost_cutin,Completed
258,rain,ghost_cutin,Completed
259,snow,ghost_cutin,Completed
260,clear,ghost_cutin,Completed
261,cloudy,ghost_cutin,Failed -- Accident
262,rain,ghost_cutin,Completed
263,snow,ghost_cutin,Completed
264,clear,ghost_cutin,Completed
265,cloudy,ghost_cutin,Completed
266,rain,ghost_cutin,Completed
267,snow,ghost_cutin,Completed
268,clear,ghost_cutin,Completed
269,cloudy,ghost_cutin,Completed
270,rain,ghost_cutin,Completed
271,snow,ghost_cutin,Completed
272,clear,ghost_cutin,Completed
273,cloudy,ghost_cutin,Completed
274,rain,ghost_cutin,Completed
275,snow,ghost_cutin,Completed
276,clear,ghost_cutin,Completed
277,cloudy,ghost_cutin,Completed
278,rain,ghost_cutin,Completed
279,snow,ghost_cutin,Failed -- Accident
280,clear,ghost_cutin,Completed
281,cloudy,ghost_cutin,Completed
282,rain,ghost_cutin,Completed
283,snow,ghost_cutin,Completed
284,clear,ghost_cutin,Completed
285,cloudy,ghost_cutin,Completed
286,rain,ghost_cutin,Completed
287,snow,ghost_cutin,Failed -- Accident
288,clear,ghost_cutin,Completed
289,cloudy,ghost_cutin,Completed
290,rain,ghost_cutin,Completed
291,snow,ghost_cutin,Completed
292,clear,ghost_cutin,Completed
293,cloudy,ghost_cutin,Completed
294,rain,ghost_cutin,Completed
295,snow,ghost_cutin,Completed
296,clear,ghost_cutin,Completed
297,cloudy,ghost_cutin,Completed
298,rain,ghost_cutin,Completed
299,snow,ghost_cutin,Completed
300,clear,ghost_cutin,Completed
