ts,agent_id,x,y,z,v
31937,0,192.36241149902344,-86.26268005371094,0.5393258333206177,0.0
31938,0,192.36241149902344,-86.26268005371094,0.4919061064720154,0.0
31939,0,192.36241149902344,-86.26268005371094,0.4383743107318878,0.0
31940,0,192.36241149902344,-86.26268005371094,0.3787320554256439,0.0
31941,0,192.36241149902344,-86.26268005371094,0.31298086047172546,0.0
31942,0,192.36241149902344,-86.26268005371094,0.24112220108509064,0.0
31943,0,192.36241149902344,-86.26268005371094,0.16315768659114838,0.0
31944,0,192.36241149902344,-86.26268005371094,0.08290393650531769,0.0
31945,0,192.36241149902344,-86.26268005371094,0.026514854282140732,3.664954201383602e-08
31946,0,192.36241149902344,-86.26268005371094,-0.008726844564080238,8.499004978958666e-08
31947,0,192.36241149902344,-86.26268005371094,-0.029134521260857582,4.0642790304550036e-08
31948,0,192.36241149902344,-86.26268005371094,-0.03932075574994087,8.34201247433567e-08
31949,0,192.36241149902344,-86.26268005371094,-0.04107673466205597,0.000285971082443362
31950,0,192.36244201660156,-86.26265716552734,-0.03865554556250572,0.0011593236892333888
31951,0,192.36241149902344,-86.26264190673828,-0.03404334932565689,0.00048339069402260094
31952,0,192.36241149902344,-86.26263427734375,-0.028247259557247162,0.00013368273969888291
31953,0,192.36241149902344,-86.26263427734375,-0.02195255272090435,4.486638306466108e-05
31954,0,192.36241149902344,-86.26263427734375,-0.015612220391631126,0.0001274478723008062
31955,0,192.36241149902344,-86.26263427734375,-0.009513778612017632,0.00016156608225438451
31956,0,192.36244201660156,-86.26264190673828,-0.003827972337603569,0.0001695863860322825
31957,0,192.36244201660156,-86.26264190673828,0.0013550185831263661,0.00016434410470578934
31958,0,192.36244201660156,-86.26264190673828,0.006000022869557142,0.00015262173319720277
31959,0,192.36244201660156,-86.26265716552734,0.01010768860578537,0.00013910781593999671
31960,0,192.36244201660156,-86.26265716552734,0.013701400719583035,0.00012406652743472352
31961,0,192.36244201660156,-86.26265716552734,0.016817893832921982,0.00011020511937617312
31962,0,192.36245727539062,-86.26266479492188,0.01950054056942463,9.737613828668818e-05
31963,0,192.36245727539062,-86.26266479492188,0.02179538644850254,8.591092698542522e-05
31964,0,192.36245727539062,-86.26266479492188,0.02374778687953949,7.459816991304016e-05
31965,0,192.36245727539062,-86.26266479492188,0.025401076301932335,6.58845282923484e-05
31966,0,192.36245727539062,-86.2626724243164,0.026795310899615288,5.728817964319493e-05
31967,0,192.36245727539062,-86.2626724243164,0.02796676568686962,5.0061429453611535e-05
31968,0,192.36245727539062,-86.2626724243164,0.028947867453098297,4.367124601588458e-05
31969,0,192.36245727539062,-86.2626724243164,0.029767073690891266,3.8241691870071395e-05
31970,0,192.36245727539062,-86.2626724243164,0.030449293553829193,3.3134893125919445e-05
31971,0,192.36245727539062,-86.2626724243164,0.03101608157157898,2.8999661220570394e-05
31972,0,192.36245727539062,-86.2626724243164,0.03148593753576279,2.5373887048468146e-05
31973,0,192.36245727539062,-86.2626724243164,0.031874656677246094,2.1930475487220146e-05
31974,0,192.36245727539062,-86.2626724243164,0.032195623964071274,1.8986955025770042e-05
31975,0,192.36245727539062,-86.2626724243164,0.03246017545461655,1.6848164243142567e-05
31976,0,192.36245727539062,-86.2626724243164,0.03267795592546463,1.407787656551661e-05
31977,0,192.36245727539062,-86.2626724243164,0.032856862992048264,1.2484106756027564e-05
31978,0,192.36245727539062,-86.2626724243164,0.033003728836774826,1.0688644759321349e-05
31979,0,192.36245727539062,-86.2626724243164,0.033124085515737534,9.353231164093205e-06
31980,0,192.36245727539062,-86.2626724243164,0.033222541213035583,8.306324678007793e-06
31981,0,192.36245727539062,-86.2626724243164,0.033303145319223404,7.035652757349042e-06
31982,0,192.36245727539062,-86.2626724243164,0.033368948847055435,6.002813055547617e-06
31983,0,192.36245727539062,-86.2626724243164,0.03342258557677269,5.4547892470156865e-06
31984,0,192.36245727539062,-86.26268005371094,0.033466413617134094,4.55838708450948e-06
31985,0,192.36245727539062,-86.26268005371094,0.0334714874625206,5.01471800004442e-07
31986,0,192.36245727539062,-86.26268005371094,0.0334848016500473,3.221714074671279e-07
31987,0,192.36245727539062,-86.26268005371094,0.03350048139691353,3.8021289383620744e-07
31988,0,192.36245727539062,-86.26268005371094,0.033516958355903625,4.117442641383894e-07
31989,0,192.36245727539062,-86.26268005371094,0.033533286303281784,4.4339260643534394e-07
31990,0,192.36245727539062,-86.26268005371094,0.03354877233505249,3.711095894114914e-07
31991,0,192.36245727539062,-86.26268005371094,0.0335630401968956,2.803267524987131e-07
31992,0,192.36245727539062,-86.26268005371094,0.03357597440481186,2.7812983146120625e-07
31993,0,192.36245727539062,-86.26268005371094,0.0335874930024147,2.270860374876438e-07
31994,0,192.36245727539062,-86.26268005371094,0.0335976779460907,2.1150815706469598e-07
31995,0,192.36245727539062,-86.26268005371094,0.033606529235839844,1.542160560549113e-07
31996,0,192.36245727539062,-86.26268005371094,0.033614158630371094,2.0387544606099063e-07
31997,0,192.36245727539062,-86.26268005371094,0.033620718866586685,1.3267301456407427e-07
31998,0,192.36245727539062,-86.26268005371094,0.03362636640667915,1.773848160947659e-07
31999,0,192.36245727539062,-86.26268005371094,0.03363117203116417,7.2046314699574e-08
32000,0,192.36245727539062,-86.26268005371094,0.033635213971138,9.001067955373159e-08
32001,0,192.36245727539062,-86.26268005371094,0.033638570457696915,6.582301942361253e-08
32002,0,192.36245727539062,-86.26268005371094,0.033638570457696915,1.0275569042790302e-07
32003,0,192.36245727539062,-86.26268005371094,0.03364013507962227,2.035771934278967e-08
32004,0,192.36245727539062,-86.26268005371094,0.033641472458839417,7.432972193263149e-08
32005,0,192.36245727539062,-86.26268005371094,0.03364292159676552,1.2747009621229596e-07
32006,0,192.36245727539062,-86.26268005371094,0.033644333481788635,6.667309916008996e-08
32007,0,192.36245727539062,-86.26268005371094,0.03364570438861847,8.823481917012485e-08
32008,0,192.36245727539062,-86.26268005371094,0.03364696353673935,7.582698378212318e-08
32009,0,192.36245727539062,-86.26268005371094,0.03364814817905426,2.0631662482699156e-07
32010,0,192.36245727539062,-86.26268005371094,0.033649176359176636,1.2287128874860864e-08
32011,0,192.36245727539062,-86.26268005371094,0.033649176359176636,4.4850201676616644e-08
32012,0,192.36245727539062,-86.26268005371094,0.03365089371800423,6.896653707482367e-08
32013,0,192.36245727539062,-86.26268005371094,0.03365089371800423,4.9256651694067804e-08
32014,0,192.36245727539062,-86.26268005371094,0.03365211561322212,2.2316645187112298e-08
32015,0,192.36245727539062,-86.26268005371094,0.03365211561322212,1.405787221079122e-07
32016,0,192.36245727539062,-86.26268005371094,0.03365211561322212,4.682400462973741e-08
32017,0,192.36245727539062,-86.26268005371094,0.03365341201424599,8.334750540338031e-08
32018,0,192.36245727539062,-86.26268005371094,0.03365341201424599,4.8141156683530764e-08
32019,0,192.36245727539062,-86.26268005371094,0.03365341201424599,1.4613203285992747e-07
32020,0,192.36245727539062,-86.26268005371094,0.03365341201424599,9.430918099411637e-08
