ts,agent_id,x,y,z,v
27578,0,192.36241149902344,-86.26268005371094,0.5393258333206177,0.0
27579,0,192.36241149902344,-86.26268005371094,0.4919061064720154,0.0
27580,0,192.36241149902344,-86.26268005371094,0.4383743107318878,0.0
27581,0,192.36241149902344,-86.26268005371094,0.3787320554256439,0.0
27582,0,192.36241149902344,-86.26268005371094,0.31298086047172546,0.0
27583,0,192.36241149902344,-86.26268005371094,0.24112220108509064,0.0
27584,0,192.36241149902344,-86.26268005371094,0.16315768659114838,0.0
27585,0,192.36241149902344,-86.26268005371094,0.08290393650531769,0.0
27586,0,192.36241149902344,-86.26268005371094,0.026514854282140732,3.663027421617008e-08
27587,0,192.36241149902344,-86.26268005371094,-0.008726844564080238,8.498108899037842e-08
27588,0,192.36241149902344,-86.26268005371094,-0.029134521260857582,4.0640184047885735e-08
27589,0,192.36241149902344,-86.26268005371094,-0.03932075574994087,8.341240003098735e-08
27590,0,192.36241149902344,-86.26268005371094,-0.04107673466205597,0.0002859886645773851
27591,0,192.36244201660156,-86.26265716552734,-0.03865554556250572,0.0011594052342135607
27592,0,192.36241149902344,-86.26264190673828,-0.03404334932565689,0.0004834809547963434
27593,0,192.36241149902344,-86.26263427734375,-0.028247259557247162,0.00013373416220605598
27594,0,192.36241149902344,-86.26263427734375,-0.02195255272090435,4.485437819769319e-05
27595,0,192.36241149902344,-86.26263427734375,-0.015612220391631126,0.0001273989126062602
27596,0,192.36241149902344,-86.26263427734375,-0.009513778612017632,0.00016083791643126734
27597,0,192.36244201660156,-86.26264190673828,-0.003827972337603569,0.000169541306061423
27598,0,192.36244201660156,-86.26264190673828,0.0013550185831263661,0.00016434487793568625
27599,0,192.36244201660156,-86.26264190673828,0.006000022869557142,0.00015263866808125088
27600,0,192.36244201660156,-86.26265716552734,0.01010768860578537,0.00013913302939847194
27601,0,192.36244201660156,-86.26265716552734,0.013701400719583035,0.0001242095065854136
27602,0,192.36244201660156,-86.26265716552734,0.016817854717373848,0.00011065478532476246
27603,0,192.36245727539062,-86.26266479492188,0.019500579684972763,9.75345183292964e-05
27604,0,192.36245727539062,-86.26266479492188,0.02179538644850254,8.620224858218588e-05
27605,0,192.36245727539062,-86.26266479492188,0.02374778687953949,7.451272967575619e-05
27606,0,192.36245727539062,-86.26266479492188,0.02540103904902935,6.56439753792418e-05
27607,0,192.36245727539062,-86.2626724243164,0.026795310899615288,5.7275957562732906e-05
27608,0,192.36245727539062,-86.2626724243164,0.02796676568686962,5.0071173811034686e-05
27609,0,192.36245727539062,-86.2626724243164,0.028947867453098297,4.365861716073995e-05
27610,0,192.36245727539062,-86.2626724243164,0.0297671128064394,3.830051860398444e-05
27611,0,192.36245727539062,-86.2626724243164,0.030449332669377327,3.33663647437177e-05
27612,0,192.36245727539062,-86.2626724243164,0.03101608157157898,2.9100103566557544e-05
27613,0,192.36245727539062,-86.2626724243164,0.03148593753576279,2.5371960118317964e-05
27614,0,192.36245727539062,-86.2626724243164,0.031874656677246094,2.206185376700027e-05
27615,0,192.36245727539062,-86.2626724243164,0.032195623964071274,1.8532569406099428e-05
27616,0,192.36245727539062,-86.2626724243164,0.03246017545461655,1.6781376567568507e-05
27617,0,192.36245727539062,-86.2626724243164,0.03267795592546463,1.4057961514179789e-05
27618,0,192.36245727539062,-86.2626724243164,0.03285682573914528,1.2593409027491701e-05
27619,0,192.36245727539062,-86.2626724243164,0.03300369158387184,1.1224550766468839e-05
27620,0,192.36245727539062,-86.2626724243164,0.03312404453754425,9.787045037258065e-06
27621,0,192.36245727539062,-86.2626724243164,0.033222541213035583,8.333032768680845e-06
27622,0,192.36245727539062,-86.2626724243164,0.03330310806632042,6.69515502601761e-06
27623,0,192.36245727539062,-86.2626724243164,0.033368948847055435,5.912714258309046e-06
27624,0,192.36245727539062,-86.2626724243164,0.03342258557677269,5.470730394874147e-06
27625,0,192.36245727539062,-86.26268005371094,0.033466413617134094,4.571069652597964e-06
27626,0,192.36245727539062,-86.26268005371094,0.0334714874625206,5.53969247355931e-07
27627,0,192.36245727539062,-86.26268005371094,0.0334848016500473,3.213305830584721e-07
27628,0,192.36245727539062,-86.26268005371094,0.03350048139691353,3.8076533626908327e-07
27629,0,192.36245727539062,-86.26268005371094,0.033516958355903625,4.116093230540138e-07
27630,0,192.36245727539062,-86.26268005371094,0.033533286303281784,3.94048101754613e-07
27631,0,192.36245727539062,-86.26268005371094,0.03354877233505249,3.7219887356316034e-07
27632,0,192.36245727539062,-86.26268005371094,0.0335630401968956,2.49442223599161e-07
27633,0,192.36245727539062,-86.26268005371094,0.03357597440481186,2.842866834336383e-07
27634,0,192.36245727539062,-86.26268005371094,0.0335874930024147,2.3207466953906514e-07
27635,0,192.36245727539062,-86.26268005371094,0.0335976779460907,2.1634562567002896e-07
27636,0,192.36245727539062,-86.26268005371094,0.033606529235839844,1.5936019702366117e-07
27637,0,192.36245727539062,-86.26268005371094,0.033614158630371094,2.0941684726240485e-07
